micro_ref,micro_descr
MICCCAY,Cyclospora cayetanensis
MICCDIV,Citrobacter diversus
MICCELLUCE,Cellulosimicrobium cellulans
MICCFRE,Citrobacter freundii
MICCG(N)AE,Cocos Gram negativos aerobios
MICCG(N)AN,Cocos Gram negativos anaerobios
MICCG(P)AE,Cocos Gram positivos aerobios
MICCG(P)AN,Cocos Gram positivos anaerobios
MICCGLA,Candida glabrata
MICCGP,Cocs gram positius
MICCGPEF,CGP tipus estafilococ
MICCGPET,CGP tipus estreptococ
MICCGV,Cocs gram variables
MICCHAETOG," Chaetomium globosum
"
MICCHAETOS,Chaetomium sp
MICCHLOMES,Chilomastix mesnili
MICCHRYSAR," Chryseobacterium arthrosphaerae
"
MICCHRYSIN,Chryseobacterium indologenes (= Flavobac
MICCHRYSJO,Chryseobacterium joostei
MICCHRYSME," Chryseobacterium meningosepticum (= Flav
"
MICCHRYSSH,Chryseobacterium shandongense
MICCHRYSSP,Chryseobacterium spp
MICCITRAMA,Citrobacter amalonaticus
MICCITRBRA,Citrobacter braakii
MICCITRFAR,Citrobacter farmeri
MICCITRFRE,Citrobacter freundii complex
MICCITRSED,Citrobacter sedlakii
MICCITRSP,Citrobacter sp
MICCITRYOU," Citrobacter youngae
"
MICCJEJ,Campylobacter jejuni
MICCKOS,Citrobacter koseri
MICCKRU,Candida krusei
MICCLADOSP,Cladosporium sp
MICCLOSTBA,Clostridium baratii
MICCLOSTBU,Clostridium butyricum
MICCLOSTCA,Clostridium cadaveris
MICCLOSTDI,Clostridium difficile
MICCLOSTII,Clostridium innocuum
MICCLOSTIN," Clostridium indolis
"
MICCLOSTLI,Clostridium limosum
MICCLOSTPA,Clostridium paraputrificum
MICCLOSTRA,Clostridium ramosum
MICCLOSTSE,Clostridium septicum
MICCLOSTSG,Clostridium sporogenes
MICCLOSTSO,Clostridium sordellii
MICCLOSTSP,Clostridium sp
MICCLOSTSU," Clostridium subterminale
"
MICCLOSTTE,Clostridium tertium
MICCMV,Citomegalovirus
MICCNEO,Cryptococcus neoformans
MICCOCAN,Coc anaerobi
MICCOCCISP," Coccidioides sp
"
MICCOCS," Cocs
"
MICCOMAMAC,Comamonas acidovorans
MICCOMAMTE," Comamonas testosteroni
"
MICCORY,Corynebacterium sp
MICCORYACC,Corynebacterium accolens
MICCORYAFE,Corynebacterium afermentans
MICCORYAMY,Corynebacterium amycolatum
MICCORYAQ,Corynebacterium aquaticum
MICCORYAUR,Corynebacterium aurimucosum
MICCORYBOV," Corynebacterium bovis
"
MICCORYCOY,Corynebacterium coyleae
MICCORYDUR," Corynebacterium durum
"
MICCORYFRE,Corynebacterium freneyi
MICCORYGLU,Corynebacterium glucuronolyticum
MICCORYIMI,Corynebacterium imitans
MICCORYJK,Corynebacterium jeikeium
MICCORYMAC,Corynebacterium macginleyi
MICCORYMIN,Corynebacterium minutissimum
MICCORYMUC,Corynebacterium mucifaciens
MICCORYPRO,Corynebacterium propinquum
MICCORYPSD,Corynebacterium pseudodiphtheriticum
MICCORYRIE,Corynebacterium riegelii
MICCORYSIM,Corynebacterium simulans
MICCORYSIN,Corynebacterium singulare
MICCORYSTR,Corynebacterium striatum
MICCORYTUB,Corynebacterium tuberculostearicum
MICCORYURE,Corynebacterium urealyticum
MICCOXIEBU,Coxiella burnetii
MICCPAR,Candida parapsilosis
MICCPER,Clostridium perfringens
MICCRONSP,Cronobacter sp
MICCRYCONE," Cryptococcus neoformans var. grubii
"
MICCRYPPAR,Cryptosporidium parvum
MICCRYPSP,Cryptosporidium sp
MICCRYSIND,Chryseobacterium indologenes
MICCSIT,Chrysonilia sitophila
MICCTRO,Candida tropicalis
MICCUPGIL,Cupriavidus gilardii
MICCUPMET," Cupriavidus metallidurans
"
MICCUPSP," Cupriavidus sp.
"
MICCURVUSP,Curvularia sp
MICCUTIACN,Cutibacterium acnes
MICCUTIAVI,Cutibacterium avidum
MICCUTINAM,Cutibacterium namnetense
MICDELACI,Delftia acidovorans
MICDELFLAC,Delftia lacustris
MICDEM,Dematiaceos
MICDER,Dermatofito
MICDERMAC,Dermacoccus spp
MICDERMAHO,Dermatobia hominis
MICDERMHOM,Dermabacter hominis
MICDIAPNE,Dialister pneumosintes
MICDIF,Bacil gram positiu difteroid aerobi .
MICDIPHYLA," Diphyllobotrium latum
"
MICDIPHYSP," Diphyllobotrium sp
"
MICDIPTER," DIPTERS
"
MICDIROFII," Dirofilaria immitis repens
"
MICEAER,Enterobacter aerogenes
MICEBH,Estreptococ beta hemolític
MICECAS,Enterococcus casseliflavus
MICECHIGRA,Echinococcus granulosus
MICECLO,Enterobacter cloacae
MICECLOC,Enterobacter cloacae complex
MICECNE,Estafilococ coagulasa negatiu
MICECOL,Escherichia coli
MICEDUR,Enterococcus durans
MICEDWTAR," Edwardsiella tarda
"
MICEFAC,Enterococcus faecium
MICEFAE,Enterococcus faecalis
MICEIKENCO,Eikenella corrodens
MICELEN,Eggerthella lenta
MICELIZAMI,Elizabethkingia miricola
MICELIZASP,Elizabethkingia spp
MICEMPEBRE," Empedobacter brevis (= Flavob. brevis)
"
MICENDONAN,Endolimax nana
MICENDOSP," Endolimax sp
"
MICENTAHIS,Entamoeba histolytica/ dispar
MICENTAMCO,Entamoeba coli
MICENTAMDI,Entamoeba dispar
MICENTAMHA,Entamoeba hartmanni
MICENTAMHI,Entamoeba histolytica
MICENTBAMI,Enterobacter amnigenus
MICENTBASB,Enterobacter asburiae
MICENTBBUG,Enterobacter bugandensis
